 Mobile Number  ,name, State  , Telephone  , City  , Email  , Telephone 2  , Country  , Address  , Website 
 9250000101 , Aangle Of Love Foundation Society,Delhi, 011-45652378 , New Delhi , gnshandilya@gmail.com ,, India ," AANGEL OF LOVE FOUNDATION C-94A, S/F, RAM DATT ENCLAVE, UTTAM NAGAR NEW DELHI 110059", NO website is listed 
 9811034127 , Aanya Social Service Organization Society,Delhi, 011-65351382 , Delhi , aanyasocialservice.org@gmail.com ,, India ," 879, Kucha Pati Ram Bazar Sita Ram Delhi-110006", NO website is listed 
 09310566999 , Aaradhana Musical Cultural And Educational Society Society,Delhi, 011-65637094 , Delhi , menkasharma@yahoo.com ,, India ," E-16, JANGPURA EXTENSION NEW DELHI -14", NO website is listed 
 9911405330 , Aarambh Foundation Trust Trust,Delhi, 0124-4205330 , New Delhi , aarambhfoundation.ngo@gmail.com ,, India ," C-1636, Tigri", http://www.theaarambhfoundation.org
 09315881005 , Aarogya Seva Mission Foundation Society,Delhi, 01276-232164 , New Delhi , sumitsharma49@gmail.com ,, India ," 197-A, GROUND FLOOR, EKTA ENCLAVE PEERA GARHI CHOWK, NEW DELHI", NO website is listed 
 9910059312 , Aarohan Society,Delhi, 011-65951911 , New Delhi , aarohansociety@gmail.com ,, India ," B-127, Malviya Nagar, New Delhi - 110017", http://www.indianngoaarohan.org
 09891471229 , Aaronic Child Foundation Society,Delhi, 09891-471229 , Delhi , aaronic.child.foundation@gmail.com ,, India ," A-446 Jaitpur Ext, Badarpur ,New Delhi-110044.", NO website is listed 
 9910002002 , Aashalata Victoria Wilkinson Memorial Charitable Trust,Delhi, 011-26851611 , New Delhi , victoriawilkinsontrust@yahoo.co.in ,, India ," L-96-D , 2nd Floor ,D.D.A Flats , Saket.", NO website is listed 
 9810058051 , Aashraiy Trust,Delhi, 011-27933996 , Delhi , sundeep@aashraiy.org ,, India ," 154, IInd FLOOR, POCKET-12, SECTOR-24 ROHINI, DELHI-110085", http://aashraiy.org
 9811408399 , Aasmaa Foundation Trust,Delhi, 011-47521098 , New Delhi , aasmaafoundation@gmail.com ,, India ," HU-55, Vishakha Enclave, Pitampura", http://aasmaafoundation.org
 9968855802 , Aastha Institute For Advance Studies Trust,Delhi, 011-26833242 , New Delhi , aias_s26@yahoo.com ,, India , G- 20 East of Kailash New Delhi-110065, NO website is listed 
 9968855802 , Aastha Institute For Advanced Studies Trust,Delhi, 011-26833242 , New Delhi , aiasdelhi@yahoo.co.in ,, India ," G- 20, East of Kailash, 110065", NO website is listed 
 9971202550 , Aastha Shiksha Samittee Society,Delhi, 011-65125903 , East Delhi , aiit_43@yahoo.com ,, India , 128-Rani garden shastri nagar geeta colony, NO website is listed 
 9716651740 , Aastha Tulsi Mahila Vikas Samiti Society,Delhi, 9716-651740 , New Delhi , atmvsamiti09@gmail.com ,, India ," B-16, kh.no.-61/15, gali no.5, harphul vihar, Jai vihar, ph-3rd, baprolla, Najafagrh, New Delhi.", NO website is listed 
 9999007130 , Aawahan Society,Delhi, 011-42151327 , New Delhi , info.aawahan@gmail.com ,, India ," E-252-LGF,Main ISCKON Temple road,Near Reliance fresh shop, Sant Nagar East of Kailash New Delhi - 110065, India.", http://www.fight4urpride.com
 9717532677 , Aawaz Initiative For Social Change And Deranged Governance System Society,Delhi, 011-24536796 , Delhi , aawaz_ngo@yahoo.com ,, India , E-3/277 SULTAN PURI DELHI-86, http://www.aawazngo.com
 9810143459 , Aayam Society,Delhi, 011-22788096 , New Delhi , sindhubhagia@gmail.com ,, India ," Flat no. 56-A, Pocket - F, Mayur Vihar, Phase-2, Delhi - 110091", NO website is listed 
 09868632577 , Abha Help Mission Trust,Delhi, 011-22577814 , Delhi , abhahelpmission@yahoo.co.in ,, India ," C-37, G.T.B. HOSPITAL CAMPUS, DELHI-110095", http://www.abhahelpmission.org
 9871261113 , Abhas Action Beyond Help And Support Trust,Delhi, 011-26024597 , New Delhi , abhas2006@gmail.com ,, India ," A-201, Yamuna Apartments, Alaknanda, New Delhi-110019.", http://www.abhasindia.org
 9899462698 , Abhigya Natya Association Society,Delhi, 011-22482294 , Delhi , abhigyannatya@gmail.com ,, India , d 45 a pandav nagar opp. mother dairy delhi 110092, NO website is listed 
 09953760175 , Abhinav Bharti Society,Delhi, 011-65966887 , Delhi , abhinavbharti.d32@gmail.com ,, India ," House No 1/51, Shalimar Park Extension, SHAHDARA, DELHI-11032", NO website is listed 
 09810901970 , Abhinav Samaj Trust,Delhi, 011-25371724 , Delhi , abhinavsamaj2010@gmail.com ,, India ," R-10(G.F.), R-Block, Old Uttam Nagar, Delhi-110059", http://www.abhinavsamaj.org
 9717718883 , Abhivyakti Educational Society Society,Delhi, 971-7718883 , New Delhi , deepakchauhan88@gmail.com ,, India ," J-3/2, ground floor, Khirki Extn. Malviya Nagar, New Delhi-110017", http://www.abhivyaktiedu.org
 9868035848 , Abhivyakti Foundation Society,Delhi, 011-23232102 , Delhi , abhivyaktifoundation_2000@yahoo.co.in ,, India ," 1/18-B, Asaf Ali Road, Room No.-403, Dreamland Building, Opposite Kamla Market, New Delhi, 110002", http://www.abhivyaktifoundation.org
 9811189814 , Abhivyakti Karyashala Society,Delhi, 011-28758569 , Delhi , manojchandola@ymail.com ,, India ," B-43 UNITED INDIA APPARTMENT GGHS, MAYUR VIHAR, PHASE I DELHI 110091", http://www.aksngo.com
 9716321878 , Abhyaas Society,Delhi, 011-64613221 , Delhi , pnsraj@gmail.com , 98116-41887 , India ," 60D, Pocket A, Mayur Vihar Phase II, Delhi, 110091", NO website is listed 
 9818182136 , Abhyas An Association Of Art Culture And Social Welfare Society,Delhi, 011-29964526 , New Delhi , abhyasgrp@gmail.com ,, India ," C-63/A Duggal Colony 3rd floor,Khanpur Ext. 110062", http://www.abhyasassociation.org
 9891085755 , Abhyuday Foundation Section 25 Company,Delhi, 011-49324405 , New Delhi , dwivedi.prabhatkumar@gmail.com ,, India ," 124, LGF Uday Park August Kranti Marg New Delhi-110049", http://abhyudayfooundation.org
 8743054193 , Abhyudya Trust,Delhi, 011-42444016 , New Delhi , abhyudya1@hotmail.com ,, India , Bhagwan Nagar New Delhi 110014, NO website is listed 
 09711169021 , Abul Hasan Nadwi Educational And Welfare Trust Trust,Delhi, 06221-402056 , New Delhi , hasratnadwi@hotmail.com ,, India , 10/10 Allama Iqbal Road Batla House Jamia Nagar New Delhi 110025, NO website is listed 
 9971999976 , Accrete Social Reviews Advancement Society,Delhi, 011-25497014 , New Delhi , asraa.org@gmail.com , 98101-24485 , India ," RZ 490/318, Gitanjali Park, Street No.7, Sagar Pur, (West), New Delhi-110046.", http://www.asra.co.in
 9911961988 , Ace Vision Society,Delhi, 011-26983978 , New Delhi , acevisiondelhi@gmail.com ,, India ," 4C, DDA Flats, Taimoor Nagar, New Friends Colony, New Delhi- 110065", NO website is listed 
 09810038391 , Acharya Chhau Nrutya Bichitra Society,Delhi, 011-29533386 , New Delhi , acnbseraikella@gmail.com ,, India ," B-19, 3rd Floor, Paryavaran Complex, New Delhi - 110 030", http://acharyaseraikellachhau.com
 09990981807 , Acord Society,Delhi, 011-32537353 , Delhi , VIKASGUPTA26@gmail.com ,, India , E-28 STREET NO-10 BRAHAMPURI DELHI-110053, http://www.acordasia.com
 09718389101 , Action Care Path Initiative Trust,Delhi, 011-25174808 , New Delhi , mkbagwani@yahoo.com ,, India ," Action Care Path Initiative B 14, Raja Garden, New Delhi 110015", NO website is listed 
 09313372558 , Action For Autism Society,Delhi, 011-40540991 , New Delhi , actionforautism@gmail.com ,, India ," Action For Autism Pocket 7 & 8, Jasola Vihar, New Delhi -110025", http://www.autism-india.org
 9717472228 , Action For Community Development Trust Trust,Delhi, 011-47323843 , New Delhi , actionforcommunity10@gmail.com ,, India , 9D-1 Hindustan Times Apartments Mayur Vihar Phase 1 New Delhi 110091, NO website is listed 
 9313617433 , Action For Development And Welfare Of Society And Environment Society,Delhi, 011-29946350 , New Delhi , afdose@gmail.com ,, India ," N 29 B, Abul Fazal Enclave-1 Jamia Nagar okhla New Delhi-110025", http://www.afdwose.org
 09868629724 , Action For Welfare Alternative Policy Devlopment Society,Delhi, 011-25371217 , Delhi , manish272437@rediffmail.com ,, India ," malti nikate, b-18, bhagwati garden ex. jain road, toni prop. lane, uttam nagar new delhi-110059", NO website is listed 
 7827448892 , Ada Foundation Society,Delhi,India,, dilshadkhanrana@gmail.com ,, India ," 110-B, G-8, (Shiv Mandir) Maujpur, Delhi-110053", http://adafoundation.googlepages.com
 09212481542 , Adarash Jan Kalyan Samiti Society,Delhi, 011-22824748 , Delhi , pradeepjainj@yahoo.com , 09212481542 , India , B-37 Gali No. 4 Jyoti colony Shahdara Delhi 110032, NO website is listed 
 8826208310 , Adarsh Balika Innovative Educational Handicapped And Welfare Society Society,Delhi, 011-26041718 , Delhi , mohar_kumar@yahoo.co.in ,, India , E - 4 / 6 Mangal Bazar Thana Road Sangam Vihar New Delhi - 1110062, NO website is listed 
 9015733615 , Adarsh Foundation Trust Trust,Delhi, 011-25965363 , New Delhi , aashelp@hotmail.com , 9015733615 , India ," M-46/A, Prem Nagar-II, 40 Feet Road, Nangaloi, Delhi-110041 Branch Office : Ayodhya Basti, Fakkar Choraha, Kamahal Khedi, Ward No.11, Sheopur, Madhya Pradesh.", NO website is listed 
 09810383820 , Adarsh Jankalyan Samiti All India Society,Delhi, 011-22829394 , Delhi , johnbinney@yahoo.in ,, India ," 39, jyoti colony, loni road, shahdara delhi-110032", NO website is listed 
 9810137592 , Adharshila Trust,Delhi, 011-29214203 , New Delhi , grc@adharshilatrust.org , 9810137592 , India ," Mailing Address- S  519, Greater Kailash  II, New Delhi110048, India", http://adharshilatrust.org
 9899766903 , Adhikar Chetna Society,Delhi, 011-23840392 , Delhi , love1ajay2000@yahoo.com , 9899766903 , India , amit aggarwal BJ-67 shalimar bagh East new delhi, NO website is listed 
 09999229969 , Adhunik Bal Sanskar Shiksha Samiti Society,Delhi, 011-26655565 , New Delhi , narayanschool@gmail.com ,, India ," Sri Narayan Sai International school, Chattar pur mandir Road,fateh pur Beri, New Delhi-110074", NO website is listed 
 9312812220 , Adhyatmic Vikas Shiksha Sanstha Society,Delhi, 011-65252810 , Delhi , alphamp.r@gmail.com ,, India ," Alpha Montessori School 515 E, (A-347), Buddha Marg, Mandawali Fazalpur, Delhi-110092, India", NO website is listed 
 09250147286 , Adinath Development Trust Society,Delhi, 011-25353588 , New Delhi , adinath.trust043@gmail.com ,, India ," E-107, st no- 1,nawada housing complex, kakrola more, uttam nagar, new delhi.110059", NO website is listed 
 09810227335 , Aditya Educational And Social Welfare Society Society,Delhi, 011-22917840 , Delhi , aditya1esws@gmail.com ,, India ," F-111 , Vardhaman Complex, Yamuna Vihar Delhi- 110053", NO website is listed 
 09868620324 , Adrash Niketan Society,Delhi, 011-27619801 , Delhi , brijeshrai1@gmail.com ,, India , Khasra No 12/14 B- 51 street no 2 Shastri Park Nathupura Mod Burari Delhi 110084, NO website is listed 
 9868626759 , Adunik Sugam Social Services Socity Society,Delhi, 011-25361671 , Delhio , riya.ruchika.rajput@gmail.com ,, India ," plio no-:51 kutub vihar ,gola dairy ,new delhi", NO website is listed 
 9971468109 , Adyant Society,Delhi, 011-41418518 , New Delhi , a.jagpreet@gmail.com ,, India ," adyant, I-131, Naraina Vihar, New Delhi-110028", NO website is listed 
 9350632619 , Adyatam Kalyan Prishad Society,Delhi, 011-25409209 , New Delhi , adhyatamkalyanprishad@gmail.com ,, India ," gali no. 28, b315, mahavir enclave part -2", NO website is listed 
 9811143628 , Afour Foundation Trust,Delhi, 011-23632261 , Delhi , a4foundation2012@gmail.com ,, India ," 222, Anarkali Complex, Jhandewalan Extension, New Delhi 110055", http://a4foundation.org
 9818160599 , Agappe Positive Care Society,Delhi, 011-22586262 , Delhi , raji.benjamin@yahoo.co.in , 9818160599 , India ," 251-B, PKT-E, GTB ENCLAVE DELHI-110093", http://www.agappepositivecare.webs.com
 9013383910 , Agaya Shiksha Samiti Society,Delhi, 011-27637208 , New Delhi , anusol773@gmail.com ,, India , A-1 GALI NO - 1 HIMGIRI ENCLAVE BURARI DELHI, NO website is listed 
 9810007524 , Aidmatrix Foundation Section 25 Company,Delhi, 011-65422890 , New Delhi , kuldipnar@gmail.com ,, India ," C2/2200, Vasant Kunj New Delhi - 110070 India", http://www.aidmatrix.org
 09811648468 , Aim Society,Delhi, 011-64617705 , Delhi , mr_kuldeepji@rediffmail.com ,, India ," 333, Kabir Basti, Near Sonker Akhara, Malka Ganj Road, Subzi Mandi, Delhi-110007", NO website is listed 
 9210068529 , Aims Education Society Society,Delhi, 011-25261167 , Delhi , aims.itc@gmail.com ,, India ," A-589-90 jwala puri, Delhi 110087", NO website is listed 
 9210068529 , Aims Foundation Society,Delhi, 011-25261197 , Delhi , aims@bol.net.in ,, India ," 640, GH 13, paschim Vihar, Delhi110087", NO website is listed 
 9891232373 , Aish Society,Delhi, 011-2514946 , All , pcsakkarwal@yahoo.com ,, India ," H.O. 63/4220 Raigar Pura, Karol Bagh, New Delhi-110005 Correspondence office; B-48, Sector-15, Noida, UP Pin-201301", NO website is listed 
 9971448329 , Akash Deep Educational And Social Welfare Society Society,Delhi, 011-25353479 , Delhi , akashdeep008@gmail.com ,, India ," E-199A, OM Vihar, Phase -V , Uttam Nagar, New Delhi -110059", NO website is listed 
 8011130848 , Akashiganga Foundation Society,Delhi,India,, akashiganga.india@gmail.com ,, India ," Head Office Address : A-4,Christian Colony, Patel Chest , New Delhi-110007 Branch : HN  48, Ganeshnagar, Basistha, Guwahati 781029, Kamrup(M)Assam.", NO website is listed 
 9312345333 , Akhil Bharatiya Smt Leelawati Mahila Bal Jagrukta Samaj Kalyn Samiti Society,Delhi, 9312-345111 , Malviya Nagar , smtleelawatisks@gmail.com ,, India ," S-10,Parasar Building,Khirki extension, Malviya nagar,110017", http://www.smtleelatisks.com
 9711250571 , Akhil Bharitya Samaj Kalyan Sangh Society,Delhi, 011-22776767 , Delhi , akhil.samaj@gmail.com ,, India ," 5/128, Khichripur, Delhi", NO website is listed 
 9313635769 , Akhil Bhartia Abbasi Welfare Association Society,Delhi, 09871-407777 , Munirka , sultan_abbasi@rediffmail.com ,, India ," 205 F/1, Main Red Light,Near Bank of Baroda, Muneerka Vilage", NO website is listed 
 9198688497 , Akhil Bhartiya Antyodaya Sansthan Trust,Delhi, 011-98688497 , New Delhi , josh_antyoday@rediffmail.com ,, India ," a-6, FIRST FLOOR, SOUTH EXTENSION PART -2, NEW DELHI-110049, INDIA", NO website is listed 
 9971514706 , Akhil Bhartiya Chikitshak Association Regd Society,Delhi, 011-22485054 , Delhi , dcprajapati@rediffmail.com ,, India , S 11/ 3 Pandav Nagar Mother Dairy Delhi 92, NO website is listed 
 9811639036 , Akhil Bhartiya Dalit Mahila Evam Samaj Sudhar Samiti Society,Delhi, 011-25833366 , Delhi , dalitmahilasamiti@yahoo.com ,, India ," WE-94,MOHAN GARDEN,NEAR MOTHER DAIRY UTTATM NAGAR,NEW DELHI-110059", NO website is listed 
 09212219546 , Akhil Bhartiya Dastkar Samiti Society,Delhi, 011-27165568 , Delhi , abdsamiti@sify.com , 09212219546 , India , B-2 Extn 5Vishnu Garden New Delhi 110018, http://www.dastkarsociety.org
 08447885735 , Akhil Bhartiya Gramin Sewa Sangh Society,Delhi,India,, akhilbgssngo@gmail.com ,, India ," Alok Bharti Public School, B-1, Sector-16, Delhi-110085", NO website is listed 
 9810732613 , Akhil Bhartiya Jan Parishad Society,Delhi, 011-32553922 , Delhi , lotas_kkumar@rediffmail.com , 9810732613 , India ," H.NO. 657/5, DOODH WALI GALI, CHOWK BANGLA, MEHRAULI, NEW DELHI-110030", NO website is listed 
 09312550030 , Akhil Bhartiya Mahila Suraksha Sanghthan Society,Delhi, 011-29914978 , Delhi , chaitram1949@gmail.com ,, India ," D-156,Flat No. 6, 2nd floor, Krishna park, Deoli Road, new Delhi-110062", NO website is listed 
 9999800871 , Akhil Bhartiya Mahila Udyog Kalyan Shiksha Samiti Society,Delhi, 011-65761243 , Delhi , ngo.abmukss.1989@gmail.com ,, India ," Akhil bhartiya Mahila Udyog Kalyan and shiksha Samiti (Regd.) B- 290, Sangam Gali, New Ashok nagar, opp. East end apartment, Delhi 110096", NO website is listed 
 8010709744 , Akhil Bhartiya Majdoor Shiksha Sewa Samiti Society,Delhi, 011-25322061 , New Delhi , abms2samiti@gmail.com ,, India ," 12, K-1, Extn., Mohan Garden, Uttam Nagar, New Delhi - 110059.", http://www.abmsss.org
 9968019995 , Akhil Bhartiya Manav Chetna Kala Sansthan Society,Delhi, 011-28035434 , Delhi , abmcks@gmail.com , 011-25332357 , India ," LIG Flat 338, G/F, Pocket 3C,Sector16B Dwarka, New Delhi-110078", http://abmcks.com
 09350609833 , Akhil Bhartiya Manav Hit Sanstha Society,Delhi, 011-22312318 , Delhi , abmhs03@yahoo.com , 09350609833 , India ," 1/3418, ram nagar extn. shahdara delhi-110032", NO website is listed 
 9811468519 , Akhil Bhartiya Prerna Vikas Samiti Society,Delhi,India,, delhi.abpvs@gmail.com ,, India ," C-3/121, Nand Nagri Delhi-110093", NO website is listed 
 08505957331 , Akhil Bhartiya Samaj Sudhar Samiti Society,Delhi, 011-22527291 , Delhi , sudharsamiti@yahoo.com ,, India ," B-34,JAGATPURI NEAR MAHAMANA SCHOOL", NO website is listed 
 9312038527 , Akhil Bhartiya Sarvangin Vikash Sangthan Society,Delhi, 011-25065544 , New Delhi , absv.sangthan@gmail.com , 9312038527 , India ," Akhil Bhartiya Sarvangin Vikash Sangthan Neat Telephone Exchange, Factory Road, Samalka New Delhi - 110037", NO website is listed 
 09910322881 , Akhil Bhartiya Upbhokta Sanrakhan Samiti Society,Delhi, 011-32913850 , New Delhi , ravi_delhi0066@yahoo.in , 09910322881 , India ," F-60, Mohan Baba Nagar, Badarpur New DElhi-110044", NO website is listed 
 9868342580 , Akhil Bhartiya Viklang Vidhva Vraddh Sewa Samiti Society,Delhi, 011-22123374 , Delhi , response2sandhya@yahoo.com ,, India ," akhil bhartiya, viklang,vidhava.virdha seva samiti.basti vikas kendra, B,block NAND NAGRI.delhi 110092", NO website is listed 
 9210012617 , Akhil Bhartiya Viklang Vidhwa Virdha Sewa Samiti Society,Delhi, 011-22123374 , Delhi , akhil_sunariyadav@yahoo.com , 9210012617 , India ," Basti Vikas Kendra, Block D-3, Near Railway Quarters Nand Nagri, Delhi-110093", NO website is listed 
 09210660287 , Akhil Manav Sewa Parishad Society,Delhi, 011-25647071 , Delhi , amsp83@gmail.com ,, India ," E-107, St.no-1,Nawada Housing Complex, Kakrola More, Uttam Nagar, New Delhi-110059", NO website is listed 
 09910760366 , Akhspa Health Educational And Social Welfare Society Society,Delhi, 011-41639595 , New Delhi , akhspasociety@gmail.com ,, India ," H.no 53, Bal Mukand Khand, Giri Nagar, Kalkaji, New Delhi-110019", NO website is listed 
 9990798901 , Akriti Foundation Society,Delhi, 011-45543575 , New Delhi , ypawany@gmail.com ,, India ," Flat-80, Sec-6, PKT-1, DDA(SFS) Dwarka, New Delhi-110075", http://www.akritifoundation.org
 09716788883 , Aks Foundation Trust,Delhi, 06344-261373 , New Delhi , aksfoundationindia@gmail.com ,, India ," 179-C, Saraswati Enclave, M. D. Marg, Gopal Nagar, Najafgarh, New Delhi-110043", http://www.aksfoundation.co.in
 9711550034 , Aks India Trust,Delhi, 011-26922771 , New Delhi , aks-india@asia.com ,, India ," A-117, 4th Floor, Room no 1, Shubrati Apartment, Okhla Main Market, Jamia Nagar", NO website is listed 
 9899523533 , Akshar Graphics Society Cooperative Society,Delhi, 06452-247582 , Delhi , ANUJSINHA344@REDIFFMAIL.COM ,, India ," B-344, NEHRU VIHAR TIMARPUR, DELHI-110054", NO website is listed 
 9810648628 , Akshaya Vat Art And Culture Society Society,Delhi, 091-98106486 , Delhi , indervop@gmail.com ,, India ," 13-C, Pocket-A, Group-II, Dilshad Garden, Delhi-110095", NO website is listed 
 9810648628 , Akshayvat Art And Culture Society Society,Delhi, 011-22573869 , Delhi , akshayvat.08@gmail.com ,, India ," 13-c,Pocket A, Dilshad Garden, Delhi-110095", NO website is listed 
 9910596306 , Al Ada Foundation Society,Delhi,India,, aladafoundation@gmail.com ,, India ," 609/8, Rajiv Gandhi Nagar, New Mustfabad, Delhi-110094", NO website is listed 
 9818126492 , Al Farooq Social And Educational Society Society,Delhi, 011-26943462 , New Delhi , dr.wasim007@gmail.com ,, India ," D-133, Abul Fazal Enclave, Jamia Nagar New Delhi-110025", NO website is listed 
 7827350015 , Al Gaush Educational Trust Trust,Delhi, 011-26922845 , New Delhi , hasiburrahman596@gmail.com ,, India ," H.NO.20066/27, Tughlakabad Extn, New Delhi-110019", NO website is listed 
 9899541221 , Al Hind Youva Sangh Society,Delhi, 011-25108922 , Delhi , ahysdelhi@gmail.com ,, India , AL HIND YOUVA SINGH A-127-PUNJABI BASTI (KUMAR SINGH CHOWK) BALJEET NAGAR NEW DELHI-110008, NO website is listed 
 9810118091 , Al Latif Memorial Trust Trust Society,Delhi, 011-23938857 , Delhi , allatifmemorialtrust@gmail.com ,, India ," B- 149, Ground Floor, Street No. 8, Mandawali Fazalpur, Delhi-110092.", NO website is listed 
 9289451816 , Al Mirah Welfare Sansthan Society,Delhi, 011-26322443 , Delhi , almirawelfare.sansthan@gmail.com ,, India ," 2305, Gali Nalbandan, Turkman Gate Delhi-110 006", NO website is listed 
 9801484445 , Al Misbah Educational Trust Trust,Delhi,India,, almisbaheducationaltrust@gmail.com ,, India ," NIAMAT TOLA,POST: BANIYAPUR PS: BANIYAPUR ,DISCT CHAPRA PINCODE 841403", NO website is listed 
 09958560731 , Alaleem Foundation Trust,Delhi, 011-26984741 , New Delhi , alaleem.foundation@gmail.com ,, India ," D-20 Haji Colony Ghaffar Manzil Phase 2, Jamia Nagar,Okhla,", NO website is listed 
 9810562507 , Alamb Society,Delhi, 011-25354225 , Delhi , alamb@bol.net.in ,, India ," Plot. No.13, Block-A, Omvihar Phase-5, Behind Holy International School, New Delhi-110059", http://www.alamb.org
 09413340966 , Alarippu Society,Delhi, 0141-2319873 , Delhi , alathedu@yahoo.co.in ,, India ," House No. 1072 /1, D-2, 1st floor, Milan Apt, Old Post Office Street, Mehrauli New Delhi-110030", NO website is listed 
 9953046709 , Albiruni Institute Of Human Development Trust,Delhi, 011-65163888 , New Delhi , zrtaimi@yahoo.co.in ,, India ," F165B, Shaheen Bagh, Jamia Nagar, New Delhi-110025", http://www.raheeqglobalschool.com
 9990006764 , Ale Athar Educational And Welfare Society Society,Delhi, 011-22568645 , New Delhi , ealia@rediffmail.com ,, India ," P-19 street no. 17 Brahampuri,New Seelampur,Delhi-110053", NO website is listed 
 9711120512 , Alhikmah Foundation Society,Delhi, 011-26985089 , New Delhi , alhikmah@rediffmail.com ,, India ," Alhikmah Foundation 161/1, Sir Syed Avenu, Jogabai, Jamia Nagar, New Delhi - 110 025", http://www.alhikmah.in
 9953239474 , Alhind Educational And Welfare Society Trust,Delhi, 011-22821147 , Delhi , alhindtrust@yahoo.com ,, India , A-16 New Jafrabad D.D.A Colony New Delhi- 110032, NO website is listed 
 09868549137 , All India Agro Women And Children Welfare Society Society,Delhi, 011-28052591 , Delhi , contact@allindiaaseca.org , 09868549137 , India ," SFS FLAT NO.: 326, POCKET 10, SECTOR 11 (EXTENSION), ROHINI, DELHI - 110 085", http://www.allindiaaseca.org
 9718503030 , All India Anti Corruption Committee Society,Delhi, 011-22801989 , Delhi , anticorruption.no_1@yahoo.com , 9718503030 , India ," B-306/U, Gali no. 2, B Block, Ashok Nagar, Delhi-110093", http://aiacc.net
 9718503030 , All India Anti Crime Bureau Society,Delhi, 011-22111176 , Delhi , allindiaanticorruptioncommttee@gmail.com ,, India ," B-306/U, GALI NO. 2, B BLOCK, ASHOK NAGAR, DELHI-110093", NO website is listed 
 9971429609 , All India Association For Women And Child Development Society,Delhi, 011-65257453 , Nangloi , sociolifecare.india@gmail.com ,, India ," House no. D-217, Street no.- 03, Laxmi Park, Near Shiv Mandir, Nangloi, Pin Code - 110041", http://www.sociolifecare.org
